Transaction_ID,Date,Product_ID,Store_ID,Quantity,Unit_Price,Total_Amount,Month_Year,Store_Name,Region,Store_Type,Product_Name,Brand,Category
TXN1705,2026-07-08,P002,ST005,1.0,29500000,29500000.0,2026-07,CH_BD_TDM_4,Miền Nam,C,Samsung Galaxy S24 Ultra,Samsung,Smartphone
TXN1704,2026-09-21,P005,ST008,1.0,4500000,4500000.0,2026-09,CH_HCM_GV_7,Miền Nam,C,AirPods Pro 2,Apple,Accessories
TXN1670,2026-07-29,P009,ST001,4.0,40000000,160000000.0,2026-07,CH_HCM_Q1_0,Miền Nam,D,Samsung Galaxy Z Fold 5,Samsung,Smartphone
TXN1829,2026-07-03,P004,ST004,2.0,21500000,43000000.0,2026-07,CH_HCM_TB_3,Miền Nam,B,Xiaomi 14 5G,Xiaomi,Smartphone
TXN1814,2026-09-06,P005,ST007,1.0,5500000,5500000.0,2026-09,CH_HCM_Q3_6,Miền Nam,A,AirPods Pro 2,Apple,Accessories
TXN1170,2026-08-25,P006,ST010,1.0,10500000,10500000.0,2026-08,CH_BD_TDM_9,Miền Nam,C,Oppo Reno 11 5G,Oppo,Smartphone
TXN2304,2026-08-25,P009,ST004,1.0,38500000,38500000.0,2026-08,CH_HCM_TB_3,Miền Nam,B,Samsung Galaxy Z Fold 5,Samsung,Smartphone
TXN2263,2026-07-27,P001,ST008,1.0,29500000,29500000.0,2026-07,CH_HCM_GV_7,Miền Nam,C,iPhone 15 Pro Max 256GB,Apple,Smartphone
TXN1351,2026-07-05,P005,ST004,1.0,5500000,5500000.0,2026-07,CH_HCM_TB_3,Miền Nam,B,AirPods Pro 2,Apple,Accessories
TXN1289,2026-07-12,P007,ST014,1.0,26500000,26500000.0,2026-07,CH_HCM_TB_13,Miền Nam,B,iPad Pro M4 11 inch,Apple,Tablet
TXN2235,2026-07-16,P005,ST006,1.0,5500000,5500000.0,2026-07,CH_HCM_Q1_5,Miền Nam,D,AirPods Pro 2,Apple,Accessories
TXN1026,2026-07-17,P008,ST009,1.0,8500000,8500000.0,2026-07,CH_HCM_TB_8,Miền Nam,B,Apple Watch Series 9,Apple,Smartwatch
TXN2731,2026-08-13,P004,ST013,2.0,21500000,43000000.0,2026-08,CH_HCM_GV_12,Miền Nam,C,Xiaomi 14 5G,Xiaomi,Smartphone
TXN1032,2026-07-09,P001,ST014,1.0,29000000,29000000.0,2026-07,CH_HCM_TB_13,Miền Nam,B,iPhone 15 Pro Max 256GB,Apple,Smartphone
TXN1919,2026-09-05,P006,ST009,2.0,9000000,18000000.0,2026-09,CH_HCM_TB_8,Miền Nam,B,Oppo Reno 11 5G,Oppo,Smartphone
TXN1544,2026-07-17,P002,ST003,1.0,29500000,29500000.0,2026-07,CH_HCM_GV_2,Miền Nam,C,Samsung Galaxy S24 Ultra,Samsung,Smartphone
TXN1298,2026-08-26,P005,ST013,1.0,6000000,6000000.0,2026-08,CH_HCM_GV_12,Miền Nam,C,AirPods Pro 2,Apple,Accessories
TXN1314,2026-07-17,P009,ST002,1.0,38500000,38500000.0,2026-07,CH_HCM_Q3_1,Miền Nam,A,Samsung Galaxy Z Fold 5,Samsung,Smartphone
TXN2055,2026-09-12,P010,ST011,1.0,6500000,6500000.0,2026-09,CH_HCM_Q1_10,Miền Nam,D,Loa Bluetooth Marshall,Marshall,Accessories
TXN1569,2026-09-21,P010,ST001,1.0,5500000,5500000.0,2026-09,CH_HCM_Q1_0,Miền Nam,D,Loa Bluetooth Marshall,Marshall,Accessories
TXN1888,2026-09-28,P009,ST014,1.0,39500000,39500000.0,2026-09,CH_HCM_TB_13,Miền Nam,B,Samsung Galaxy Z Fold 5,Samsung,Smartphone
TXN2111,2026-07-18,P005,ST015,1.0,4500000,4500000.0,2026-07,CH_BD_TDM_14,Miền Nam,C,AirPods Pro 2,Apple,Accessories
TXN1432,2026-08-06,P002,ST010,1.0,29500000,29500000.0,2026-08,CH_BD_TDM_9,Miền Nam,C,Samsung Galaxy S24 Ultra,Samsung,Smartphone
TXN2218,2026-08-18,P009,ST007,1.0,39500000,39500000.0,2026-08,CH_HCM_Q3_6,Miền Nam,A,Samsung Galaxy Z Fold 5,Samsung,Smartphone
TXN1674,2026-08-29,P006,ST010,5.0,10000000,50000000.0,2026-08,CH_BD_TDM_9,Miền Nam,C,Oppo Reno 11 5G,Oppo,Smartphone
TXN1693,2026-08-03,P003,ST001,4.0,25500000,102000000.0,2026-08,CH_HCM_Q1_0,Miền Nam,D,MacBook Air M3 8GB 256GB,Apple,Laptop
TXN1768,2026-07-15,P007,ST003,1.0,28000000,28000000.0,2026-07,CH_HCM_GV_2,Miền Nam,C,iPad Pro M4 11 inch,Apple,Tablet
TXN1196,2026-09-03,P010,ST006,3.0,5500000,16500000.0,2026-09,CH_HCM_Q1_5,Miền Nam,D,Loa Bluetooth Marshall,Marshall,Accessories
TXN2176,2026-07-14,P001,ST005,3.0,28000000,84000000.0,2026-07,CH_BD_TDM_4,Miền Nam,C,iPhone 15 Pro Max 256GB,Apple,Smartphone
TXN1358,2026-07-11,P007,ST002,1.0,27500000,27500000.0,2026-07,CH_HCM_Q3_1,Miền Nam,A,iPad Pro M4 11 inch,Apple,Tablet
TXN1807,2026-09-23,P009,ST003,1.0,38500000,38500000.0,2026-09,CH_HCM_GV_2,Miền Nam,C,Samsung Galaxy Z Fold 5,Samsung,Smartphone
TXN1384,2026-08-25,P009,ST015,3.0,40000000,120000000.0,2026-08,CH_BD_TDM_14,Miền Nam,C,Samsung Galaxy Z Fold 5,Samsung,Smartphone
TXN2022,2026-09-11,P008,ST013,1.0,9000000,9000000.0,2026-09,CH_HCM_GV_12,Miền Nam,C,Apple Watch Series 9,Apple,Smartwatch
TXN1402,2026-09-02,P009,ST008,1.0,39000000,39000000.0,2026-09,CH_HCM_GV_7,Miền Nam,C,Samsung Galaxy Z Fold 5,Samsung,Smartphone
TXN2753,2026-07-18,P009,ST011,1.0,38500000,38500000.0,2026-07,CH_HCM_Q1_10,Miền Nam,D,Samsung Galaxy Z Fold 5,Samsung,Smartphone
TXN1093,2026-07-19,P001,ST001,1.0,28000000,28000000.0,2026-07,CH_HCM_Q1_0,Miền Nam,D,iPhone 15 Pro Max 256GB,Apple,Smartphone
TXN1273,2026-08-13,P003,ST006,1.0,26000000,26000000.0,2026-08,CH_HCM_Q1_5,Miền Nam,D,MacBook Air M3 8GB 256GB,Apple,Laptop
TXN2064,2026-07-03,P003,ST012,1.0,26000000,26000000.0,2026-07,CH_HCM_Q3_11,Miền Nam,A,MacBook Air M3 8GB 256GB,Apple,Laptop
TXN1698,2026-07-03,P002,ST004,3.0,29500000,88500000.0,2026-07,CH_HCM_TB_3,Miền Nam,B,Samsung Galaxy S24 Ultra,Samsung,Smartphone
TXN1711,2026-09-13,P004,ST003,1.0,21500000,21500000.0,2026-09,CH_HCM_GV_2,Miền Nam,C,Xiaomi 14 5G,Xiaomi,Smartphone
TXN2749,2026-08-06,P004,ST003,2.0,20500000,41000000.0,2026-08,CH_HCM_GV_2,Miền Nam,C,Xiaomi 14 5G,Xiaomi,Smartphone
TXN2583,2026-08-05,P008,ST007,1.0,10000000,10000000.0,2026-08,CH_HCM_Q3_6,Miền Nam,A,Apple Watch Series 9,Apple,Smartwatch
TXN1883,2026-09-27,P010,ST003,2.0,6500000,13000000.0,2026-09,CH_HCM_GV_2,Miền Nam,C,Loa Bluetooth Marshall,Marshall,Accessories
TXN1322,2026-08-26,P010,ST005,2.0,5500000,11000000.0,2026-08,CH_BD_TDM_4,Miền Nam,C,Loa Bluetooth Marshall,Marshall,Accessories
TXN2220,2026-07-21,P003,ST003,2.0,27000000,54000000.0,2026-07,CH_HCM_GV_2,Miền Nam,C,MacBook Air M3 8GB 256GB,Apple,Laptop
TXN1388,2026-07-17,P005,ST010,1.0,5500000,5500000.0,2026-07,CH_BD_TDM_9,Miền Nam,C,AirPods Pro 2,Apple,Accessories
TXN2231,2026-07-21,P005,ST010,1.0,5500000,5500000.0,2026-07,CH_BD_TDM_9,Miền Nam,C,AirPods Pro 2,Apple,Accessories
TXN1336,2026-09-17,P001,ST015,1.0,28500000,28500000.0,2026-09,CH_BD_TDM_14,Miền Nam,C,iPhone 15 Pro Max 256GB,Apple,Smartphone
